iter	Passed	Remaining
1188	3621	947
1189	3622	943
1190	3623	940
1191	3624	936
1192	3626	933
1193	3627	929
1194	3628	926
1195	3629	922
1196	3631	919
1197	3633	916
1198	3635	912
1199	3636	909
1200	3637	905
1201	3637	901
1202	3638	898
1203	3639	894
1204	3640	891
1205	3641	887
1206	3643	884
1207	3644	881
1208	3645	877
1209	3646	873
1210	3646	870
1211	3647	866
1212	3648	863
1213	3649	859
1214	3649	856
1215	3650	852
1216	3651	849
1217	3651	845
1218	3652	841
1219	3652	838
1220	3653	834
1221	3654	831
1222	3655	827
1223	3656	824
1224	3656	820
1225	3657	817
1226	3657	813
1227	3658	810
1228	3659	806
1229	3660	803
1230	3660	799
1231	3661	796
1232	3662	793
1233	3662	789
1234	3663	786
1235	3664	782
1236	3665	779
1237	3666	775
1238	3666	772
1239	3667	768
1240	3668	765
1241	3668	762
1242	3669	758
1243	3670	755
1244	3671	751
1245	3672	748
1246	3672	745
1247	3673	741
1248	3674	738
1249	3675	735
1250	3675	731
1251	3676	728
1252	3678	725
1253	3678	721
1254	3679	718
1255	3680	715
1256	3681	711
1257	3681	708
1258	3682	704
1259	3683	701
1260	3684	698
1261	3685	695
1262	3686	691
1263	3686	688
1264	3687	685
1265	3688	681
1266	3689	678
1267	3689	675
1268	3691	671
1269	3691	668
1270	3692	665
1271	3693	662
1272	3694	658
1273	3695	655
1274	3695	652
1275	3696	648
1276	3697	645
1277	3697	642
1278	3698	639
1279	3699	635
1280	3699	632
1281	3700	629
1282	3701	626
1283	3701	622
1284	3703	619
1285	3703	616
1286	3704	613
1287	3705	609
1288	3706	606
1289	3707	603
1290	3707	600
1291	3708	597
1292	3709	593
1293	3710	590
1294	3711	587
1295	3711	584
1296	3712	581
1297	3713	577
1298	3713	574
1299	3714	571
1300	3715	568
1301	3715	565
1302	3716	561
1303	3717	558
1304	3717	555
1305	3718	552
1306	3719	549
1307	3720	546
1308	3721	542
1309	3722	539
1310	3722	536
1311	3723	533
1312	3724	530
1313	3725	527
1314	3727	524
1315	3727	521
1316	3728	518
1317	3729	514
1318	3730	511
1319	3730	508
1320	3731	505
1321	3732	502
1322	3732	499
1323	3733	496
1324	3734	493
1325	3735	490
1326	3735	487
1327	3736	483
1328	3737	480
1329	3738	477
1330	3739	474
1331	3740	471
1332	3741	468
1333	3741	465
1334	3742	462
1335	3743	459
1336	3743	456
1337	3744	453
1338	3744	450
1339	3745	447
1340	3746	444
1341	3746	441
1342	3747	438
1343	3748	435
1344	3749	432
1345	3749	429
1346	3750	425
1347	3751	422
1348	3751	419
1349	3752	416
1350	3752	413
1351	3753	410
1352	3753	407
1353	3754	404
1354	3755	401
1355	3755	398
1356	3756	395
1357	3757	392
1358	3757	389
1359	3758	386
1360	3759	383
1361	3761	381
1362	3761	378
1363	3762	375
1364	3763	372
1365	3764	369
1366	3764	366
1367	3765	363
1368	3766	360
1369	3766	357
1370	3767	354
1371	3767	351
1372	3768	348
1373	3769	345
1374	3769	342
1375	3770	339
1376	3771	336
1377	3771	333
1378	3772	331
1379	3773	328
1380	3773	325
1381	3774	322
1382	3776	319
1383	3776	316
1384	3777	313
1385	3778	310
1386	3779	307
1387	3779	305
1388	3780	302
1389	3781	299
1390	3782	296
1391	3782	293
1392	3783	290
1393	3784	287
1394	3784	284
1395	3786	282
1396	3786	279
1397	3788	276
1398	3789	273
1399	3789	270
